id,condition_id,question,title,description,market_slug,end_date_iso,game_start_time,question_id,tokens,outcomes,outcome_prices,volume,active,closed,archived,new,featured,category,tags,group_item_title,group_item_threshold
,0x5eed579ff6763914d78a966c83473ba2485ac8910d0a0914eef6d9fcb33085de,NCAAB: Arizona State Sun Devils vs. Nevada Wolf Pack 2023-03-15,,"In the upcoming NCAAB game, scheduled for March 15 at 9:10 PM ET:

If the Arizona State Sun Devils win, the market will resolve to “Arizona State”.

If the Nevada Wolf Pack win, the market will resolve to “Nevada”.

 If the game is not completed by April 10, 2023 (11:59:59 PM ET), the market will resolve 50-50.",ncaab-arst-nev-2023-03-15,2023-03-15T00:00:00Z,2023-03-16T01:10:00Z,0x2d5ddf657e4a090bc22921bf6865bcdb741a7b96ce45eb583be041756fad04a0,"[{'token_id': '73470541315377973562501025254719659796416871135081220986683321361000395461644', 'outcome': 'Arizona State', 'price': 1, 'winner': True}, {'token_id': '56393761733830483601097051857899348522495376869600726893014309766300892311293', 'outcome': 'Nevada', 'price': 0, 'winner': False}]",,,,True,True,False,,,,['All'],,
,0x8901bf367fcb32b406b54e8deb1bcb3320fdc4a994bd7f0a7a1fe72956dc1c9a,NCAAB: Tennessee Volunteers vs. Duke Blue Devils 2023-03-18,,"In the upcoming NCAAB game, scheduled for March 18 at 2:40 PM ET:

If the Tennessee Volunteers win, the market will resolve to “Tennessee”.

If the Duke Blue Devils win, the market will resolve to “Duke”.

 If the game is not completed by April 10, 2023 (11:59:59 PM ET), the market will resolve 50-50.",ncaab-tenn-duke-2023-03-18,2023-03-18T00:00:00Z,2023-03-18T18:40:00Z,0x0e1188d1faa64914a95b0f9eebd1d11618e99e073ceed6fdf281331048b473e1,"[{'token_id': '63099584499166723696938912801834245359789884653808158281242893092101276172908', 'outcome': 'Tennessee', 'price': 1, 'winner': True}, {'token_id': '30276400766909644348018771740725995990021159099338826772350018698410972351366', 'outcome': 'Duke', 'price': 0, 'winner': False}]",,,,True,True,False,,,,['All'],,
,0x8945183c6253e70ec33a9f7c79058de36d3ebd809c245bc4204e9a3d098e0ea8,NBA: LA Clippers vs. Orlando Magic 2023-03-18,,"In the upcoming NBA game, scheduled for March 18 at 3:00 PM ET:

If the LA Clippers win, the market will resolve to “Clippers”.

If the Orlando Magic win, the market will resolve to “Magic”.

 If the game is not completed by April 16, 2023 (11:59:59 PM ET), the market will resolve 50-50.",nba-lac-orl-2023-03-18,2023-03-18T00:00:00Z,2023-03-18T19:00:00Z,0x116f9bb4087941c2252e57e3e76dae0b8eb0c2e741e53f6449b02e46fa40172c,"[{'token_id': '91665588621999524427468584976353845588791967440902820253143695456917338402191', 'outcome': 'Clippers', 'price': 0, 'winner': False}, {'token_id': '59154509960431552717654272305662784792584977756047887453219201349347516650502', 'outcome': 'Magic', 'price': 1, 'winner': True}]",,,,True,True,False,,,,['All'],,
,0x3648ab7c146a9a85957e07c1d43a82272be71fde767822fd425e10ba0d6c0757,[Single Market] Will Glenn Youngkin win the 2024 Republican presidential nomination?,,"This market will resolve to “Yes” if Glenn Youngkin wins the 2024 nomination of the Republican Party for U.S. president. Otherwise, this market will resolve to “No”. 

The resolution source for this market will be a consensus of official GOP sources, including https://www.gop.com. Any replacement of the nominee before election day will not change the resolution of the market.",will-glenn-youngkin-win-the-2024-republican-presidential-nomination,2024-09-10T00:00:00Z,,0x1fea5ae35e50abf6a074232210ac75c87429c2b78d2ef0d4ce205a5a590bcbbd,"[{'token_id': '2006684570364241896555682377056547936147873475006821796350135481625081540323', 'outcome': 'Yes', 'price': 0, 'winner': False}, {'token_id': '38580130314633104723975394735082095016667349014635620492800619699027053776775', 'outcome': 'No', 'price': 1, 'winner': True}]",,,,True,True,False,,,,"['Politics', 'glenn youngkin', 'republican party', 'presidential nomination', '2024 election', 'ben shapiro', 'vivek ramaswamy', 'Elections', 'donald trump jr.', 'republicans', 'u.s. presidency', 'mike pence', 'Trump', 'chris christie', 'kanye west', 'joe rogan', 'ron desantis', 'tim scott', '2024 presidential election', 'u.s. presidential election', '2024 republican presidential nomination', 'peter thiel', 'u.s. 2024 republican presidential nomination', 'U.S. Politics', 'presidential election 2024', 'u.s. 2024 elections', 'All']",,
,0xd1a5513fa75fd1d158f430161adf2e3df88511dc508328e05f520519fe78eb46,NBA: Miami Heat vs. Cleveland Cavaliers 2023-03-08,,"In the upcoming NBA game, scheduled for March 8 at 7:30 PM:

If the Miami Heat win, the market will resolve to “Heat”.

If the Cleveland Cavaliers win, the market will resolve to “Cavaliers”.

 If the game is not completed by April 16, 2023 (11:59:59 PM EST), the market will resolve 50-50.",nba-mia-cle-2023-03-08,2023-03-08T00:00:00Z,2023-03-09T00:30:00Z,0x2eccd2475521da4587e7a4149b659c5ba0edd121cf0a7612c8577b90966e03ff,"[{'token_id': '12663610198416505552579513314148589619584470839434329731081099338954226269140', 'outcome': 'Heat', 'price': 0, 'winner': False}, {'token_id': '90284581025936628567636705748268872452902031396923078593214296391990961098946', 'outcome': 'Cavaliers', 'price': 1, 'winner': True}]",,,,True,True,False,,,,['All'],,
,0xa0288b41192c5a14a919447eb09436555de5ed02ba9c0a9a99e5c283bc192653,NHL: Chicago Blackhawks vs. Boston Bruins 2023-03-14,,"In the upcoming NHL game, scheduled for March 14 at 8:30 PM ET:

If the Chicago Blackhawks win, the market will resolve to “Blackhawks”.

If the Boston Bruins win, the market will resolve to “Bruins”.

 If the game is not completed by April 21, 2023 (11:59:59 PM ET), the market will resolve 50-50.",nhl-chi-bos-2023-03-14,2023-03-14T00:00:00Z,2023-03-15T00:30:00Z,0x0843cdb666263a47e4f04ea538847fea01d53dc68f4051c89f91cd2f8b8d9782,"[{'token_id': '28376397455448303656738882535872729294688421611235668028559612504474354004917', 'outcome': 'Blackhawks', 'price': 1, 'winner': True}, {'token_id': '28611356696103758665917725928493783058585020980474031366074424688812908456591', 'outcome': 'Bruins', 'price': 0, 'winner': False}]",,,,True,True,False,,,,['All'],,
,0xd305baec7b9b2438d05e887dc84dbbb293a670ee443e541cbe888bfc5f1ba8dd,Will Brendan Fraser win the Oscar for Best Actor in a Leading Role?,,"The Academy Awards are given every year by the Academy of Motion Picture Arts and Scientists (AMPAS) to a variety of films and film industry workers for outstanding displays of artistic and technical merit. In 2023 the 95th Academy Awards are set to be given out in a ceremony scheduled for March 12.

This market will resolve to ""Yes"" if Brendan Fraser wins the Academy Award for Best Actor in a Leading Role. Otherwise, this market will resolve to ""No"".

If for any reason no winner is declared by December 31, 2023, 11:59:59 PM ET, this market will resolve to ""No"".

The primary resolution source for this market will be official information from Academy Awards and AMPAS, including data from their website (e.g. https://www.oscars.org/) and the live broadcast of the award ceremony, however a consensus of credible reporting may also be used.",will-brendan-fraser-win-the-oscar-for-best-actor-in-a-leading-role,2023-03-13T00:00:00Z,,0x3b42cc9f76f727c42b20995e0b3174bafbc67e19d887e58ced36be472198ae93,"[{'token_id': '80317148485891539958670478226829607361073081528131995578326247003331251222905', 'outcome': 'Yes', 'price': 1, 'winner': True}, {'token_id': '33695348115320054463196433943582480679912032441776069653471158744634743283132', 'outcome': 'No', 'price': 0, 'winner': False}]",,,,True,True,False,,,,"['All', 'Awards']",,
,0x0d2e2da73b35519de3e10de75f2d576475cf19fa5f56f3b7463012277d203c2a,NHL: Carolina Hurricanes vs. Winnipeg Jets 2023-03-14,,"In the upcoming NHL game, scheduled for March 14 at 7:00 PM ET:

If the Carolina Hurricanes win, the market will resolve to “Hurricanes”.

If the Winnipeg Jets win, the market will resolve to “Jets”.

 If the game is not completed by April 21, 2023 (11:59:59 PM ET), the market will resolve 50-50.",nhl-car-wpg-2023-03-14,2023-03-14T00:00:00Z,2023-03-14T23:00:00Z,0x33bde3642762985ee10561372fce2906e0b97f07ebb7ad025ee6e8dd7199e3dc,"[{'token_id': '107164665183437171551379884665247874269822139959100718863769801241104328239324', 'outcome': 'Hurricanes', 'price': 1, 'winner': True}, {'token_id': '74723706519877609373623799208202568829122196737291324809410942080543598808002', 'outcome': 'Jets', 'price': 0, 'winner': False}]",,,,True,True,False,,,,['All'],,
,0x562a1c278fd84b9cd2147253fc9497ca07a616a59f7bc0c99966f321fa4493f4,NBA: Nuggets vs. Magic (02/09/2023),,"In the upcoming NBA game, scheduled for February 9:

If the Denver Nuggets win, the market will resolve to “Nuggets”.

If the Orlando Magic win, the market will resolve to “Magic”.

If this game is not completed by April 9, 2023 (11:59:59 PM ET), or is definitively cancelled before that date, this market will resolve 50-50.",nba-nuggets-vs-magic-02092023,2023-02-07T00:00:00Z,2023-02-10T00:00:00Z,0x6634d9a2dd29b9f8f5226b76a8d4b7c62edd6f61ba8c54d2769564066a994cec,"[{'token_id': '54640934133536830902397330678975503905046193373389601769070372963866091231957', 'outcome': 'Nuggets', 'price': 0, 'winner': False}, {'token_id': '73846022821775452420510801414699435002181305341883749007420582766954188197731', 'outcome': 'Magic', 'price': 1, 'winner': False}]",,,,True,True,False,,,,['All'],,
,0xca848e711a27bec13d15c4161f2f857d39931f3f06b5635eecf3e41c466455b4,NBA: Washington Wizards vs. Atlanta Hawks 2023-03-10,,"In the upcoming NBA game, scheduled for March 10 at 7:00 PM ET:

If the Washington Wizards win, the market will resolve to “Wizards”.

If the Atlanta Hawks win, the market will resolve to “Hawks”.

 If the game is not completed by April 16, 2023 (11:59:59 PM ET), the market will resolve 50-50.",nba-wsh-atl-2023-03-10,2023-03-10T00:00:00Z,2023-03-11T00:00:00Z,0x7b80476b38b756b33c0aa14166fa0d10faebdd97df8c54fa2249d06e1d2f499d,"[{'token_id': '50549188506424644173262051524496103236227892187798135743430489132506454944805', 'outcome': 'Wizards', 'price': 0, 'winner': False}, {'token_id': '8626844908889918265563045692007059318273126251148788829349561492330420830287', 'outcome': 'Hawks', 'price': 1, 'winner': True}]",,,,True,True,False,,,,['All'],,
